[2025-09-28 23:43:33.143 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "11111111-1111-1111-1111-111111111111" | UserContext:  | TraceId: d16c2c10f3d5c16d40cba17d5800d4e0 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000003B", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.223 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4 - 200 null application/json; charset=utf-8 115.8284ms | UserContext:  | TraceId: 258ba011deccf4703355fc079209150c | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:0000003D", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.225 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb - 200 null application/json; charset=utf-8 113.7894ms | UserContext:  | TraceId: e1a0d498377eff0e08dde0137743eb8f | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:0000003F", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.226 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/11111111-1111-1111-1111-111111111111 - application/json null | UserContext:  | TraceId: aa236b6ed3921d1ae205db6e6feeffee | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:00000045", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.226 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4 - application/json null | UserContext:  | TraceId: 8db9ff4f4a299f92f1304ccbc5a3adae | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:00000047", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.227 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb - application/json null | UserContext:  | TraceId: 415dc7a69303b616f23d6b001034f4b7 | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:00000049", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.231 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car - 200 null application/json; charset=utf-8 116.4729ms | UserContext:  | TraceId: 8355fa9563cbeb75e364cd29f8412c71 | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:00000041", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.234 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52 - 200 null application/json; charset=utf-8 115.3207ms | UserContext:  | TraceId: 8a6180e565237ee07fd99f5bc78a0f0a | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:00000043", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.235 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car - application/json null | UserContext:  | TraceId: 602cc5308029a07c5b28522902d71010 | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:0000004B", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.242 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52 - application/json null | UserContext:  | TraceId: 355b8a167987ef0ab522be238eb3b56e | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:0000004D", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.261 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "11111111-1111-1111-1111-111111111111" | UserContext:  | TraceId: aa236b6ed3921d1ae205db6e6feeffee | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000045", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.264 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4" | UserContext:  | TraceId: 8db9ff4f4a299f92f1304ccbc5a3adae | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000047", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.269 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "2df869c7-92d2-4789-b5c0-fd7796bdc8cb" | UserContext:  | TraceId: 415dc7a69303b616f23d6b001034f4b7 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000049", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.278 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching all Car records | UserContext:  | TraceId: 602cc5308029a07c5b28522902d71010 | Properties: { ActionId: "10917fc6-336e-4a79-8ba1-e5b16ae666f0", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetAll (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000004B", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.283 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "990ebac7-f50b-45cb-b4a0-d3aad817de52" | UserContext:  | TraceId: 355b8a167987ef0ab522be238eb3b56e | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000004D", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.285 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "11111111-1111-1111-1111-111111111111" retrieved successfully | UserContext:  | TraceId: aa236b6ed3921d1ae205db6e6feeffee | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000045", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.286 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4" retrieved successfully | UserContext:  | TraceId: 8db9ff4f4a299f92f1304ccbc5a3adae | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000047", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.288 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "2df869c7-92d2-4789-b5c0-fd7796bdc8cb" retrieved successfully | UserContext:  | TraceId: 415dc7a69303b616f23d6b001034f4b7 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000049", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.290 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Retrieved 4 Car records | UserContext:  | TraceId: 602cc5308029a07c5b28522902d71010 | Properties: { ActionId: "10917fc6-336e-4a79-8ba1-e5b16ae666f0", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetAll (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000004B", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.290 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "990ebac7-f50b-45cb-b4a0-d3aad817de52" retrieved successfully | UserContext:  | TraceId: 355b8a167987ef0ab522be238eb3b56e | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000004D", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.291 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/11111111-1111-1111-1111-111111111111 - 200 null application/json; charset=utf-8 64.9488ms | UserContext:  | TraceId: aa236b6ed3921d1ae205db6e6feeffee | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:00000045", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.292 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4 - 200 null application/json; charset=utf-8 66.3235ms | UserContext:  | TraceId: 8db9ff4f4a299f92f1304ccbc5a3adae | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:00000047", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.295 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb - 200 null application/json; charset=utf-8 68.1919ms | UserContext:  | TraceId: 415dc7a69303b616f23d6b001034f4b7 | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:00000049", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.298 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car - 200 null application/json; charset=utf-8 63.1084ms | UserContext:  | TraceId: 602cc5308029a07c5b28522902d71010 | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:0000004B", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.302 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car - application/json null | UserContext:  | TraceId: ed4adcb70949ca046910e5c719794361 | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:0000004F", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.302 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52 - 200 null application/json; charset=utf-8 59.3847ms | UserContext:  | TraceId: 355b8a167987ef0ab522be238eb3b56e | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:0000004D", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.323 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4 - application/json null | UserContext:  | TraceId: fdf42a61706fef50c9733cafe9f60141 | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:00000053", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.323 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/11111111-1111-1111-1111-111111111111 - application/json null | UserContext:  | TraceId: 4012fc667370f689335199b950fee9d1 | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:00000051", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.323 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb - application/json null | UserContext:  | TraceId: 1e1af901bdcc5f2b2495b68f11183b4f | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:00000057", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.323 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52 - application/json null | UserContext:  | TraceId: 8416d418e7b92f66fbb4ddd62ae413ab | Properties: { EventId: { Id: 1 }, RequestId: "0HNFUOAUU3E6F:00000055", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.329 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching all Car records | UserContext:  | TraceId: ed4adcb70949ca046910e5c719794361 | Properties: { ActionId: "10917fc6-336e-4a79-8ba1-e5b16ae666f0", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetAll (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000004F", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.341 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4" | UserContext:  | TraceId: fdf42a61706fef50c9733cafe9f60141 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000053", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.343 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "11111111-1111-1111-1111-111111111111" | UserContext:  | TraceId: 4012fc667370f689335199b950fee9d1 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000051", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.346 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "2df869c7-92d2-4789-b5c0-fd7796bdc8cb" | UserContext:  | TraceId: 1e1af901bdcc5f2b2495b68f11183b4f | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000057", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.350 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "990ebac7-f50b-45cb-b4a0-d3aad817de52" | UserContext:  | TraceId: 8416d418e7b92f66fbb4ddd62ae413ab | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000055", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.352 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Retrieved 4 Car records | UserContext:  | TraceId: ed4adcb70949ca046910e5c719794361 | Properties: { ActionId: "10917fc6-336e-4a79-8ba1-e5b16ae666f0", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetAll (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000004F", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.353 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4" retrieved successfully | UserContext:  | TraceId: fdf42a61706fef50c9733cafe9f60141 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000053", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.354 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "11111111-1111-1111-1111-111111111111" retrieved successfully | UserContext:  | TraceId: 4012fc667370f689335199b950fee9d1 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000051", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.356 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "2df869c7-92d2-4789-b5c0-fd7796bdc8cb" retrieved successfully | UserContext:  | TraceId: 1e1af901bdcc5f2b2495b68f11183b4f | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000057", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.358 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "990ebac7-f50b-45cb-b4a0-d3aad817de52" retrieved successfully | UserContext:  | TraceId: 8416d418e7b92f66fbb4ddd62ae413ab | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000055", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.359 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car - 200 null application/json; charset=utf-8 57.7169ms | UserContext:  | TraceId: ed4adcb70949ca046910e5c719794361 | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:0000004F", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
